year,life_exp
1960,44.1
1961,44.4
1962,44.8
1963,44.9
1964,45.5
1965,45.5
1966,45.2
1967,45.9
1968,46.2
1969,46.4
1970,46.7
1971,47.2
1972,46.9
1973,47.7
1974,47.6
1975,47.8
1976,48.3
1977,48.6
1978,48.8
1979,49.3
1980,49.6
1981,50.1
1982,50.3
1983,48.7
1984,48.7
1985,49.0
1986,49.6
1987,50.1
1988,49.4
1989,50.7
1990,50.6
1991,50.4
1992,50.0
1993,50.3
1994,50.9
1995,51.0
1996,50.8
1997,51.0
1998,50.3
1999,51.2
2000,52.0
2001,52.2
2002,52.5
2003,53.0
2004,53.5
2005,54.2
2006,55.2
2007,55.9
2008,56.7
2009,57.6
2010,58.4
2011,59.3
2012,60.1
2013,60.7
2014,61.3
2015,61.9
2016,62.4
2017,62.9
2018,63.4
2019,63.8
2020,63.3
2021,62.5
2022,62.9
