year,life_exp
1960,37.8
1961,38.2
1962,38.7
1963,39.1
1964,39.3
1965,39.6
1966,39.8
1967,39.5
1968,40.1
1969,40.4
1970,41.0
1971,41.6
1972,42.2
1973,42.9
1974,43.5
1975,44.2
1976,45.0
1977,45.7
1978,46.3
1979,46.7
1980,47.0
1981,47.3
1982,47.5
1983,47.8
1984,47.9
1985,48.0
1986,48.1
1987,48.2
1988,48.5
1989,48.7
1990,48.7
1991,48.7
1992,48.7
1993,48.8
1994,48.7
1995,48.8
1996,48.9
1997,49.1
1998,49.3
1999,49.8
2000,50.2
2001,50.6
2002,50.9
2003,51.4
2004,51.8
2005,52.3
2006,52.8
2007,53.3
2008,53.6
2009,54.2
2010,54.6
2011,55.0
2012,55.3
2013,55.7
2014,55.9
2015,56.2
2016,56.6
2017,56.9
2018,57.2
2019,57.6
2020,57.2
2021,57.0
2022,57.6
