year,life_exp
1960,45.0
1961,45.7
1962,46.1
1963,47.0
1964,47.9
1965,48.2
1966,48.5
1967,48.9
1968,49.4
1969,49.8
1970,50.4
1971,51.3
1972,51.9
1973,52.5
1974,53.2
1975,53.7
1976,54.0
1977,55.4
1978,56.1
1979,56.8
1980,57.3
1981,57.7
1982,58.1
1983,58.8
1984,59.5
1985,60.2
1986,61.2
1987,61.2
1988,60.6
1989,62.5
1990,62.9
1991,63.2
1992,63.5
1993,64.5
1994,65.5
1995,65.3
1996,65.7
1997,66.0
1998,65.8
1999,66.9
2000,67.3
2001,67.6
2002,67.9
2003,67.9
2004,67.9
2005,68.2
2006,68.6
2007,68.9
2008,69.3
2009,69.8
2010,70.0
2011,70.3
2012,70.2
2013,70.2
2014,70.5
2015,70.8
2016,70.9
2017,71.4
2018,71.6
2019,71.8
2020,70.9
2021,70.8
2022,71.2
