year,life_exp
1960,33.5
1961,33.9
1962,34.5
1963,35.0
1964,35.6
1965,36.2
1966,36.9
1967,37.6
1968,38.3
1969,39.1
1970,40.0
1971,40.8
1972,41.6
1973,42.5
1974,43.3
1975,44.1
1976,44.9
1977,45.8
1978,46.6
1979,47.4
1980,48.2
1981,49.0
1982,49.9
1983,50.6
1984,51.4
1985,52.1
1986,52.9
1987,53.7
1988,54.5
1989,55.3
1990,56.0
1991,56.6
1992,57.4
1993,58.1
1994,58.6
1995,59.5
1996,60.2
1997,60.9
1998,61.5
1999,62.2
2000,62.0
2001,63.4
2002,64.1
2003,64.7
2004,65.3
2005,65.8
2006,66.4
2007,67.0
2008,67.5
2009,67.9
2010,68.4
2011,68.9
2012,69.3
2013,69.7
2014,70.0
2015,70.3
2016,70.6
2017,70.8
2018,71.1
2019,71.4
2020,71.6
2021,71.8
2022,72.2
