year,life_exp
1960,67.9
1961,68.2
1962,67.7
1963,68.7
1964,69.2
1965,69.3
1966,69.8
1967,69.3
1968,69.6
1969,69.1
1970,69.3
1971,69.5
1972,70.0
1973,70.1
1974,70.4
1975,70.2
1976,70.3
1977,70.2
1978,70.1
1979,70.2
1980,69.9
1981,70.4
1982,70.5
1983,70.4
1984,70.3
1985,70.3
1986,70.6
1987,70.6
1988,70.9
1989,70.7
1990,70.7
1991,70.6
1992,70.7
1993,70.8
1994,70.9
1995,71.0
1996,71.3
1997,71.5
1998,71.9
1999,72.2
2000,72.7
2001,73.1
2002,73.2
2003,73.4
2004,73.7
2005,73.8
2006,74.1
2007,74.3
2008,74.6
2009,74.9
2010,75.3
2011,75.9
2012,76.0
2013,76.4
2014,76.7
2015,76.6
2016,77.0
2017,76.9
2018,77.0
2019,77.3
2020,76.1
2021,74.8
2022,76.8
