year,life_exp
1960,33.3
1961,40.5
1962,50.8
1963,51.4
1964,52.2
1965,52.9
1966,53.6
1967,54.4
1968,55.1
1969,55.7
1970,56.6
1971,57.6
1972,58.4
1973,59.4
1974,60.2
1975,60.9
1976,61.8
1977,62.5
1978,63.2
1979,63.9
1980,64.4
1981,65.0
1982,65.5
1983,65.9
1984,66.3
1985,66.6
1986,67.0
1987,67.3
1988,67.6
1989,67.8
1990,68.0
1991,68.2
1992,68.7
1993,69.2
1994,69.5
1995,70.0
1996,70.3
1997,70.7
1998,71.2
1999,71.4
2000,71.9
2001,72.6
2002,73.0
2003,73.4
2004,73.7
2005,74.1
2006,74.5
2007,74.8
2008,74.9
2009,75.3
2010,75.6
2011,75.9
2012,76.2
2013,76.5
2014,76.7
2015,77.0
2016,77.2
2017,77.2
2018,77.7
2019,78.0
2020,78.1
2021,78.2
2022,78.6
