year,life_exp
1960,59.1
1961,59.5
1962,60.4
1963,60.9
1964,61.6
1965,61.9
1966,62.2
1967,62.5
1968,62.8
1969,63.1
1970,63.3
1971,63.4
1972,63.6
1973,63.8
1974,64.1
1975,64.4
1976,64.6
1977,64.8
1978,65.0
1979,65.1
1980,65.4
1981,65.6
1982,65.8
1983,65.9
1984,66.3
1985,66.4
1986,66.5
1987,66.6
1988,66.8
1989,67.0
1990,67.2
1991,67.3
1992,67.5
1993,67.8
1994,67.9
1995,67.9
1996,68.0
1997,68.0
1998,68.2
1999,68.3
2000,68.5
2001,68.7
2002,68.8
2003,68.8
2004,69.2
2005,69.5
2006,69.9
2007,70.3
2008,70.6
2009,70.9
2010,71.1
2011,71.2
2012,71.4
2013,71.5
2014,71.6
2015,71.9
2016,72.2
2017,72.4
2018,72.7
2019,72.4
2020,72.3
2021,70.5
2022,71.0
