year,life_exp
1960,37.8
1961,43.4
1962,51.1
1963,51.6
1964,52.4
1965,52.3
1966,53.5
1967,54.3
1968,54.8
1969,55.5
1970,56.2
1971,57.1
1972,57.7
1973,58.6
1974,59.3
1975,60.1
1976,60.9
1977,61.6
1978,62.3
1979,62.9
1980,63.4
1981,63.9
1982,64.4
1983,64.8
1984,65.2
1985,65.6
1986,66.0
1987,66.3
1988,66.6
1989,66.9
1990,67.1
1991,67.4
1992,67.9
1993,68.4
1994,68.6
1995,68.9
1996,69.2
1997,69.6
1998,70.0
1999,70.2
2000,70.6
2001,71.2
2002,71.5
2003,71.9
2004,72.0
2005,72.6
2006,72.9
2007,73.1
2008,73.1
2009,73.6
2010,73.9
2011,74.1
2012,74.4
2013,74.6
2014,74.9
2015,75.1
2016,75.3
2017,75.4
2018,75.8
2019,76.0
2020,75.9
2021,75.5
2022,76.2
