year,life_exp
1960,41.6
1961,46.6
1962,53.3
1963,53.8
1964,54.5
1965,54.5
1966,55.5
1967,56.4
1968,56.8
1969,57.4
1970,58.0
1971,58.9
1972,59.4
1973,60.3
1974,60.9
1975,61.6
1976,62.3
1977,63.1
1978,63.6
1979,64.2
1980,64.7
1981,65.2
1982,65.7
1983,66.0
1984,66.4
1985,66.8
1986,67.2
1987,67.5
1988,67.7
1989,68.1
1990,68.3
1991,68.5
1992,69.0
1993,69.4
1994,69.7
1995,69.9
1996,70.2
1997,70.6
1998,71.0
1999,71.2
2000,71.6
2001,72.1
2002,72.5
2003,72.9
2004,73.0
2005,73.4
2006,73.8
2007,74.0
2008,74.0
2009,74.5
2010,74.7
2011,75.0
2012,75.2
2013,75.5
2014,75.7
2015,75.9
2016,76.1
2017,76.2
2018,76.6
2019,76.8
2020,76.8
2021,76.4
2022,76.9
