year,life_exp
1960,61.3
1961,61.6
1962,61.8
1963,62.2
1964,62.6
1965,62.7
1966,62.9
1967,63.0
1968,63.2
1969,63.3
1970,63.4
1971,63.7
1972,64.0
1973,64.2
1974,64.4
1975,64.6
1976,64.7
1977,64.9
1978,65.1
1979,65.2
1980,65.7
1981,65.9
1982,66.2
1983,66.4
1984,66.6
1985,66.9
1986,67.6
1987,67.9
1988,67.9
1989,68.3
1990,68.3
1991,68.1
1992,67.4
1993,67.0
1994,67.3
1995,67.3
1996,67.6
1997,67.9
1998,68.4
1999,68.4
2000,68.9
2001,69.2
2002,69.5
2003,69.8
2004,70.0
2005,70.1
2006,70.4
2007,70.7
2008,71.0
2009,71.5
2010,71.9
2011,72.1
2012,72.5
2013,72.9
2014,73.2
2015,73.3
2016,73.6
2017,73.9
2018,74.1
2019,74.3
2020,72.7
2021,72.6
2022,74.1
