year,life_exp
1960,67.5
1961,67.8
1962,67.6
1963,68.0
1964,68.5
1965,68.5
1966,68.7
1967,68.7
1968,68.6
1969,68.4
1970,68.9
1971,69.1
1972,69.3
1973,69.4
1974,69.7
1975,69.6
1976,69.7
1977,70.0
1978,70.0
1979,70.1
1980,70.3
1981,70.6
1982,70.9
1983,70.9
1984,71.0
1985,71.2
1986,71.8
1987,72.0
1988,72.1
1989,72.2
1990,72.2
1991,72.2
1992,71.9
1993,71.5
1994,71.7
1995,71.8
1996,72.2
1997,72.6
1998,72.9
1999,72.9
2000,73.1
2001,73.4
2002,73.5
2003,73.6
2004,74.1
2005,74.2
2006,74.7
2007,75.1
2008,75.3
2009,75.7
2010,76.0
2011,76.5
2012,76.6
2013,77.0
2014,77.3
2015,77.2
2016,77.6
2017,77.8
2018,77.9
2019,78.2
2020,77.0
2021,76.7
2022,77.8
