year,life_exp
1960,69.2
1961,69.7
1962,69.6
1963,69.8
1964,70.3
1965,70.4
1966,70.7
1967,70.9
1968,70.8
1969,70.7
1970,71.1
1971,71.3
1972,71.6
1973,71.7
1974,72.1
1975,72.1
1976,72.5
1977,72.9
1978,73.0
1979,73.4
1980,73.5
1981,73.8
1982,74.1
1983,74.2
1984,74.6
1985,74.8
1986,75.0
1987,75.4
1988,75.6
1989,75.7
1990,75.8
1991,76.0
1992,76.3
1993,76.4
1994,76.7
1995,76.9
1996,77.1
1997,77.5
1998,77.7
1999,77.9
2000,78.2
2001,78.5
2002,78.6
2003,78.7
2004,79.2
2005,79.4
2006,79.8
2007,80.0
2008,80.2
2009,80.5
2010,80.7
2011,81.2
2012,81.2
2013,81.5
2014,81.9
2015,81.5
2016,81.9
2017,81.9
2018,82.0
2019,82.3
2020,81.5
2021,81.6
2022,81.7
