year,life_exp
1960,69.0
1961,69.4
1962,69.3
1963,69.6
1964,70.2
1965,70.3
1966,70.6
1967,70.6
1968,70.6
1969,70.4
1970,70.8
1971,71.0
1972,71.4
1973,71.5
1974,71.8
1975,71.8
1976,72.1
1977,72.4
1978,72.5
1979,72.8
1980,72.8
1981,73.1
1982,73.4
1983,73.4
1984,73.7
1985,73.8
1986,74.1
1987,74.3
1988,74.5
1989,74.7
1990,74.7
1991,74.8
1992,75.1
1993,75.3
1994,75.5
1995,75.7
1996,75.9
1997,76.2
1998,76.5
1999,76.7
2000,77.1
2001,77.4
2002,77.5
2003,77.6
2004,78.1
2005,78.3
2006,78.7
2007,78.9
2008,79.1
2009,79.4
2010,79.6
2011,80.1
2012,80.2
2013,80.5
2014,80.9
2015,80.6
2016,81.0
2017,80.9
2018,81.0
2019,81.3
2020,80.5
2021,80.3
2022,80.8
