year,life_exp
1960,46.2
1961,46.5
1962,46.9
1963,47.2
1964,47.7
1965,47.8
1966,47.8
1967,48.0
1968,48.4
1969,48.5
1970,48.9
1971,49.5
1972,49.5
1973,50.1
1974,50.2
1975,50.5
1976,50.9
1977,51.5
1978,51.6
1979,51.9
1980,52.1
1981,52.2
1982,52.2
1983,51.6
1984,51.4
1985,51.6
1986,52.2
1987,52.7
1988,52.3
1989,53.3
1990,53.3
1991,53.3
1992,53.3
1993,53.7
1994,54.3
1995,54.0
1996,54.1
1997,54.4
1998,54.2
1999,54.9
2000,55.5
2001,55.7
2002,56.1
2003,56.4
2004,56.7
2005,57.1
2006,57.5
2007,58.0
2008,58.0
2009,59.1
2010,59.3
2011,60.0
2012,60.2
2013,60.5
2014,60.7
2015,61.0
2016,61.3
2017,61.7
2018,62.0
2019,62.3
2020,61.8
2021,61.3
2022,61.8
