year,life_exp
1960,68.3
1961,68.7
1962,68.6
1963,68.9
1964,69.4
1965,69.4
1966,69.6
1967,69.8
1968,69.7
1969,69.7
1970,70.2
1971,70.5
1972,70.7
1973,70.8
1974,71.2
1975,71.4
1976,71.6
1977,71.9
1978,72.0
1979,72.3
1980,72.3
1981,72.7
1982,73.0
1983,73.1
1984,73.3
1985,73.4
1986,73.8
1987,74.1
1988,74.2
1989,74.3
1990,74.4
1991,74.6
1992,74.6
1993,74.4
1994,74.6
1995,74.7
1996,75.2
1997,75.6
1998,75.8
1999,75.8
2000,76.0
2001,76.3
2002,76.4
2003,76.5
2004,77.0
2005,77.1
2006,77.5
2007,77.8
2008,78.0
2009,78.4
2010,78.6
2011,78.9
2012,79.0
2013,79.3
2014,79.5
2015,79.5
2016,79.7
2017,79.8
2018,79.9
2019,80.1
2020,79.1
2021,78.8
2022,79.5
