year,life_exp
1960,40.7
1961,41.1
1962,41.6
1963,41.8
1964,42.3
1965,42.4
1966,42.3
1967,43.0
1968,43.3
1969,43.6
1970,43.9
1971,44.2
1972,44.0
1973,44.8
1974,44.8
1975,45.2
1976,45.8
1977,46.2
1978,46.4
1979,46.8
1980,47.2
1981,47.5
1982,47.7
1983,46.5
1984,46.4
1985,46.8
1986,47.6
1987,48.3
1988,48.1
1989,49.2
1990,49.2
1991,49.2
1992,49.2
1993,49.8
1994,50.2
1995,50.7
1996,50.8
1997,51.1
1998,51.0
1999,51.8
2000,52.7
2001,53.1
2002,53.6
2003,54.2
2004,54.7
2005,55.4
2006,56.2
2007,56.9
2008,57.5
2009,58.2
2010,58.6
2011,59.5
2012,60.1
2013,60.6
2014,61.1
2015,61.6
2016,62.2
2017,62.5
2018,62.9
2019,63.3
2020,62.8
2021,62.3
2022,62.8
