Country Code,Improvement Rate
ABW,16.9
AFE,42.7
AFG,93.3
AFW,52.3
AGO,62.1
ALB,41.1
AND,
ARB,58.4
ARE,62.3
ARG,18.9
ARM,19.4
ASM,
ATG,28.7
AUS,17.5
AUT,18.2
AZE,31.6
BDI,44.1
BEL,17.2
BEN,57.0
BFA,66.6
BGD,64.7
BGR,7.4
BHR,57.5
BHS,18.2
BIH,23.4
BLR,5.6
BLZ,22.0
BMU,21.5
BOL,50.6
BRA,39.4
BRB,20.4
BRN,31.3
BTN,115.8
BWA,30.9
CAF,38.8
CAN,14.3
CEB,13.0
CHE,17.0
CHI,14.1
CHL,39.5
CHN,136.2
CIV,54.6
CMR,75.1
COD,46.2
COG,31.4
COL,28.9
COM,60.4
CPV,51.2
CRI,28.0
CSS,20.1
CUB,21.8
CUW,
CYM,
CYP,27.6
CZE,12.3
DEU,16.9
DJI,44.7
DMA,23.6
DNK,12.6
DOM,47.6
DZA,90.3
EAP,101.8
EAR,47.9
EAS,84.7
ECA,20.9
ECS,15.4
ECU,46.0
EGY,54.6
EMU,18.0
ERI,77.6
ESP,20.2
EST,13.1
ETH,62.8
EUU,17.0
FCS,33.7
FIN,18.0
FJI,18.6
FRA,17.7
FRO,10.7
FSM,25.7
GAB,41.0
GBR,15.4
GEO,16.9
GHA,35.8
GIB,19.5
GIN,61.4
GMB,79.2
GNB,59.8
GNQ,46.6
GRC,16.4
GRD,24.0
GRL,12.8
GTM,49.9
GUM,28.6
GUY,13.7
HIC,16.4
HKG,27.0
HND,46.4
HPC,54.2
HRV,18.5
HTI,46.5
HUN,11.8
IBD,59.1
IBT,55.6
IDA,49.5
IDB,42.0
IDN,46.9
IDX,53.1
IMN,25.4
IND,49.8
INX,
IRL,18.3
IRN,69.6
IRQ,35.6
ISL,11.4
ISR,14.4
ITA,19.9
JAM,10.3
JOR,41.0
JPN,24.1
KAZ,27.5
KEN,27.5
KGZ,30.8
KHM,65.0
KIR,41.3
KNA,28.8
KOR,52.2
KWT,41.0
LAC,35.1
LAO,69.2
LBN,14.8
LBR,59.4
LBY,79.2
LCA,27.9
LCN,33.7
LDC,57.5
LIC,53.4
LIE,7.5
LKA,26.2
LMC,46.5
LMY,62.1
LSO,5.3
LTE,75.9
LTU,8.5
LUX,21.1
LVA,6.9
MAC,31.4
MAF,18.7
MAR,78.4
MCO,
MDA,12.4
MDG,50.9
MDV,109.8
MEA,63.6
MEX,36.0
MHL,21.0
MIC,63.6
MKD,32.4
MLI,99.7
MLT,21.2
MMR,53.2
MNA,62.0
MNE,17.4
MNG,61.5
MNP,
MOZ,44.6
MRT,44.5
MUS,32.5
MWI,78.7
MYS,35.0
NAC,11.4
NAM,21.8
NCL,38.1
NER,70.5
NGA,43.5
NIC,61.8
NLD,11.3
NOR,12.3
NPL,82.8
NRU,9.3
NZL,16.2
OED,18.3
OMN,108.6
OSS,28.9
PAK,47.8
PAN,26.6
PER,45.3
PHL,21.9
PLW,
PNG,44.4
POL,14.2
PRE,51.8
PRI,15.6
PRK,36.1
PRT,27.5
PRY,16.6
PSE,8.1
PSS,27.9
PST,16.4
PYF,40.0
QAT,38.4
ROU,14.3
RUS,7.5
RWA,42.3
SAS,51.1
SAU,69.6
SDN,40.7
SEN,70.3
SGP,28.1
SLB,48.2
SLE,77.9
SLV,48.6
SMR,
SOM,29.1
SRB,18.1
SSA,46.7
SSD,93.9
SSF,46.7
SST,26.9
STP,59.8
SUR,23.1
SVK,9.7
SVN,17.8
SWE,13.8
SWZ,23.0
SXM,12.3
SYC,6.1
SYR,35.0
TCA,36.1
TCD,38.1
TEA,103.0
TEC,14.0
TGO,44.3
THA,56.1
TJK,32.9
TKM,29.8
TLA,34.7
TLS,114.5
TMN,62.0
TON,22.4
TSA,51.1
TSS,46.7
TTO,18.5
TUN,69.0
TUR,54.7
TUV,39.9
TZA,55.5
UGA,39.8
UKR,-1.3
UMC,80.5
URY,15.1
USA,11.0
UZB,24.7
VCT,22.2
VEN,21.2
VGB,28.2
VIR,26.0
VNM,25.0
VUT,42.0
WLD,41.5
WSM,32.7
XKX,29.3
YEM,89.2
ZAF,16.7
ZMB,26.0
ZWE,11.6
