year,life_exp
1960,54.5
1961,55.0
1962,55.5
1963,56.0
1964,56.5
1965,56.9
1966,57.3
1967,57.6
1968,58.0
1969,58.4
1970,58.4
1971,59.3
1972,59.7
1973,60.2
1974,60.6
1975,61.1
1976,61.3
1977,61.9
1978,62.2
1979,62.6
1980,63.0
1981,63.5
1982,63.9
1983,64.4
1984,64.9
1985,65.2
1986,65.8
1987,66.2
1988,66.7
1989,67.1
1990,67.4
1991,67.7
1992,68.0
1993,68.4
1994,68.8
1995,69.1
1996,69.5
1997,69.9
1998,70.1
1999,70.6
2000,70.9
2001,71.3
2002,71.5
2003,71.8
2004,72.1
2005,72.5
2006,72.7
2007,72.8
2008,73.1
2009,73.3
2010,73.2
2011,73.7
2012,73.9
2013,74.2
2014,74.4
2015,74.5
2016,74.5
2017,74.6
2018,74.8
2019,75.0
2020,72.8
2021,71.9
2022,73.6
