year,life_exp
1960,55.2
1961,55.7
1962,56.1
1963,56.6
1964,57.1
1965,57.5
1966,57.9
1967,58.3
1968,58.6
1969,59.0
1970,59.1
1971,59.9
1972,60.3
1973,60.8
1974,61.2
1975,61.7
1976,62.0
1977,62.5
1978,62.9
1979,63.3
1980,63.7
1981,64.2
1982,64.5
1983,65.1
1984,65.5
1985,65.8
1986,66.4
1987,66.8
1988,67.2
1989,67.5
1990,67.8
1991,68.2
1992,68.5
1993,68.8
1994,69.2
1995,69.5
1996,69.9
1997,70.3
1998,70.5
1999,70.9
2000,71.2
2001,71.5
2002,71.8
2003,72.0
2004,72.3
2005,72.7
2006,72.9
2007,73.1
2008,73.3
2009,73.5
2010,73.4
2011,73.9
2012,74.1
2013,74.3
2014,74.6
2015,74.6
2016,74.6
2017,74.7
2018,74.9
2019,75.0
2020,73.0
2021,72.1
2022,73.8
