year,life_exp
1960,41.2
1961,41.7
1962,42.2
1963,42.3
1964,43.0
1965,43.0
1966,43.4
1967,44.0
1968,44.3
1969,44.6
1970,43.2
1971,40.1
1972,45.0
1973,45.6
1974,45.6
1975,45.5
1976,46.1
1977,46.8
1978,47.1
1979,47.6
1980,48.1
1981,48.4
1982,48.7
1983,48.0
1984,48.0
1985,48.4
1986,49.1
1987,49.6
1988,49.4
1989,50.4
1990,50.7
1991,50.4
1992,51.1
1993,51.6
1994,52.3
1995,52.8
1996,52.9
1997,53.7
1998,54.0
1999,55.2
2000,55.8
2001,56.3
2002,56.7
2003,57.3
2004,57.8
2005,58.3
2006,58.9
2007,59.4
2008,59.5
2009,60.5
2010,61.0
2011,61.7
2012,62.3
2013,62.7
2014,63.1
2015,63.5
2016,64.0
2017,64.4
2018,64.8
2019,65.2
2020,64.6
2021,64.2
2022,64.9
