year,life_exp
1960,41.1
1961,41.4
1962,41.8
1963,41.9
1964,42.6
1965,42.6
1966,42.5
1967,43.2
1968,43.6
1969,43.9
1970,44.2
1971,44.7
1972,44.5
1973,45.3
1974,45.4
1975,45.6
1976,46.4
1977,46.7
1978,46.9
1979,47.4
1980,47.7
1981,47.9
1982,48.0
1983,46.7
1984,46.6
1985,47.0
1986,47.8
1987,48.5
1988,48.1
1989,49.6
1990,49.7
1991,49.7
1992,49.6
1993,50.4
1994,51.1
1995,50.9
1996,51.0
1997,51.4
1998,51.0
1999,52.2
2000,53.2
2001,53.7
2002,54.2
2003,55.3
2004,55.8
2005,56.4
2006,57.2
2007,57.9
2008,58.5
2009,59.2
2010,59.7
2011,60.3
2012,60.6
2013,60.9
2014,61.3
2015,61.7
2016,62.2
2017,62.6
2018,63.0
2019,63.4
2020,63.0
2021,62.5
2022,63.0
