year,life_exp
1960,45.9
1961,46.2
1962,46.7
1963,46.9
1964,47.4
1965,46.8
1966,47.3
1967,47.6
1968,48.7
1969,49.1
1970,49.0
1971,48.1
1972,50.1
1973,50.7
1974,51.1
1975,51.7
1976,52.3
1977,52.9
1978,53.4
1979,53.9
1980,54.5
1981,55.0
1982,55.4
1983,55.9
1984,56.3
1985,56.7
1986,57.1
1987,57.5
1988,57.8
1989,58.2
1990,58.6
1991,58.8
1992,59.2
1993,59.4
1994,59.7
1995,60.0
1996,60.3
1997,60.7
1998,61.2
1999,61.7
2000,62.0
2001,62.3
2002,62.8
2003,63.1
2004,63.5
2005,63.8
2006,64.3
2007,64.5
2008,64.7
2009,65.2
2010,65.5
2011,66.0
2012,66.4
2013,66.8
2014,67.2
2015,67.6
2016,68.0
2017,68.3
2018,68.6
2019,68.8
2020,68.2
2021,66.5
2022,67.2
