year,life_exp
1960,43.4
1961,46.0
1962,49.5
1963,49.9
1964,50.5
1965,50.3
1966,51.0
1967,51.6
1968,52.3
1969,52.8
1970,53.1
1971,53.3
1972,54.4
1973,55.1
1974,55.6
1975,56.2
1976,56.8
1977,57.4
1978,57.9
1979,58.4
1980,58.9
1981,59.3
1982,59.7
1983,60.0
1984,60.4
1985,60.8
1986,61.2
1987,61.6
1988,61.8
1989,62.3
1990,62.5
1991,62.7
1992,63.0
1993,63.3
1994,63.6
1995,63.9
1996,64.1
1997,64.5
1998,64.8
1999,65.2
2000,65.5
2001,65.9
2002,66.3
2003,66.6
2004,66.8
2005,67.2
2006,67.6
2007,67.9
2008,68.1
2009,68.5
2010,68.8
2011,69.1
2012,69.5
2013,69.8
2014,70.1
2015,70.4
2016,70.7
2017,70.9
2018,71.2
2019,71.4
2020,70.7
2021,69.7
2022,70.4
