year,life_exp
1960,38.5
1961,39.0
1962,39.5
1963,40.1
1964,40.7
1965,41.4
1966,42.1
1967,42.8
1968,43.6
1969,44.3
1970,45.1
1971,46.1
1972,47.1
1973,48.2
1974,49.4
1975,50.5
1976,51.6
1977,52.6
1978,51.1
1979,54.7
1980,55.6
1981,56.4
1982,57.3
1983,58.1
1984,58.9
1985,59.7
1986,60.5
1987,61.3
1988,62.1
1989,62.8
1990,63.6
1991,64.3
1992,65.0
1993,65.7
1994,66.5
1995,67.5
1996,68.7
1997,69.2
1998,69.6
1999,70.1
2000,70.9
2001,72.2
2002,73.3
2003,74.1
2004,73.5
2005,74.8
2006,75.1
2007,75.7
2008,76.5
2009,77.1
2010,77.7
2011,78.1
2012,78.7
2013,79.1
2014,79.4
2015,79.7
2016,79.9
2017,79.9
2018,80.0
2019,80.1
2020,79.9
2021,79.9
2022,80.8
