year,life_exp
1960,44.8
1961,46.0
1962,46.3
1963,46.9
1964,47.6
1965,48.2
1966,49.2
1967,49.7
1968,50.1
1969,50.7
1970,51.3
1971,52.0
1972,52.6
1973,53.2
1974,54.0
1975,54.7
1976,55.1
1977,56.4
1978,57.0
1979,58.2
1980,58.6
1981,58.5
1982,59.0
1983,60.5
1984,61.7
1985,62.5
1986,63.1
1987,63.8
1988,64.1
1989,65.0
1990,65.1
1991,66.2
1992,66.8
1993,67.1
1994,67.3
1995,67.6
1996,68.0
1997,68.3
1998,68.5
1999,68.9
2000,69.3
2001,69.6
2002,70.0
2003,69.9
2004,70.3
2005,70.6
2006,70.8
2007,71.2
2008,71.5
2009,71.8
2010,72.1
2011,72.4
2012,72.3
2013,72.3
2014,72.6
2015,72.9
2016,73.2
2017,73.6
2018,73.8
2019,74.0
2020,72.9
2021,72.7
2022,73.2
