year,life_exp
1960,43.6
1961,46.4
1962,50.0
1963,50.5
1964,51.1
1965,50.8
1966,51.6
1967,52.2
1968,52.9
1969,53.4
1970,53.8
1971,53.9
1972,55.1
1973,55.8
1974,56.3
1975,56.9
1976,57.5
1977,58.1
1978,58.6
1979,59.2
1980,59.7
1981,60.1
1982,60.5
1983,61.0
1984,61.4
1985,61.8
1986,62.2
1987,62.6
1988,62.9
1989,63.2
1990,63.5
1991,63.7
1992,64.1
1993,64.4
1994,64.6
1995,64.9
1996,65.2
1997,65.5
1998,65.9
1999,66.3
2000,66.6
2001,67.0
2002,67.3
2003,67.6
2004,67.8
2005,68.2
2006,68.6
2007,68.8
2008,69.0
2009,69.4
2010,69.7
2011,70.0
2012,70.4
2013,70.7
2014,71.1
2015,71.4
2016,71.6
2017,71.8
2018,72.1
2019,72.3
2020,71.7
2021,70.6
2022,71.3
