year,life_exp
1960,44.6
1961,45.3
1962,45.6
1963,46.8
1964,47.4
1965,48.0
1966,48.6
1967,49.0
1968,49.5
1969,50.1
1970,50.6
1971,51.3
1972,51.9
1973,52.4
1974,53.2
1975,53.8
1976,54.3
1977,55.6
1978,56.1
1979,57.4
1980,57.7
1981,57.6
1982,58.0
1983,59.6
1984,60.9
1985,61.7
1986,62.3
1987,63.0
1988,63.4
1989,64.3
1990,64.4
1991,65.6
1992,66.2
1993,66.5
1994,66.6
1995,67.0
1996,67.4
1997,67.6
1998,67.9
1999,68.3
2000,68.6
2001,69.0
2002,69.3
2003,69.1
2004,69.6
2005,69.9
2006,70.1
2007,70.4
2008,70.7
2009,71.0
2010,71.3
2011,71.5
2012,71.4
2013,71.4
2014,71.7
2015,72.0
2016,72.3
2017,72.8
2018,73.0
2019,73.1
2020,72.2
2021,71.9
2022,72.3
