year,life_exp
1960,69.9
1961,70.4
1962,70.2
1963,70.0
1964,70.3
1965,70.4
1966,70.4
1967,70.7
1968,70.2
1969,70.7
1970,71.0
1971,71.3
1972,71.3
1973,71.5
1974,72.1
1975,72.7
1976,73.0
1977,73.3
1978,73.5
1979,73.9
1980,73.8
1981,74.2
1982,74.5
1983,74.6
1984,74.7
1985,74.7
1986,74.8
1987,75.0
1988,75.0
1989,75.2
1990,75.4
1991,75.6
1992,75.8
1993,75.6
1994,75.8
1995,75.9
1996,76.2
1997,76.6
1998,76.8
1999,76.8
2000,76.9
2001,77.1
2002,77.2
2003,77.3
2004,77.7
2005,77.7
2006,78.0
2007,78.2
2008,78.3
2009,78.7
2010,78.8
2011,78.9
2012,79.0
2013,79.0
2014,79.1
2015,79.0
2016,78.9
2017,78.9
2018,79.0
2019,79.1
2020,77.5
2021,76.9
2022,77.8
