year,life_exp
1960,67.3
1961,67.7
1962,67.7
1963,68.0
1964,68.4
1965,68.6
1966,68.8
1967,69.1
1968,69.0
1969,69.2
1970,69.5
1971,69.8
1972,70.0
1973,70.2
1974,70.6
1975,70.9
1976,71.2
1977,71.6
1978,71.7
1979,72.1
1980,72.2
1981,72.6
1982,72.9
1983,73.1
1984,73.4
1985,73.5
1986,73.8
1987,74.1
1988,74.2
1989,74.4
1990,74.6
1991,74.8
1992,75.1
1993,75.2
1994,75.5
1995,75.5
1996,75.9
1997,76.3
1998,76.5
1999,76.6
2000,76.9
2001,77.2
2002,77.4
2003,77.5
2004,77.9
2005,78.0
2006,78.3
2007,78.5
2008,78.7
2009,78.9
2010,79.1
2011,79.3
2012,79.5
2013,79.7
2014,79.9
2015,79.8
2016,79.9
2017,79.9
2018,80.0
2019,80.2
2020,78.9
2021,78.7
2022,79.6
