year,life_exp
1960,35.5
1961,36.8
1962,38.2
1963,39.4
1964,40.7
1965,41.9
1966,43.1
1967,44.3
1968,45.5
1969,46.7
1970,47.7
1971,48.9
1972,49.6
1973,50.9
1974,52.1
1975,53.3
1976,55.2
1977,56.3
1978,57.7
1979,59.2
1980,60.4
1981,61.6
1982,63.0
1983,64.2
1984,65.3
1985,66.3
1986,67.0
1987,67.9
1988,68.6
1989,69.2
1990,69.8
1991,70.2
1992,70.7
1993,71.2
1994,71.4
1995,72.0
1996,72.2
1997,72.4
1998,73.0
1999,73.2
2000,73.5
2001,73.8
2002,73.9
2003,74.1
2004,74.3
2005,74.4
2006,74.5
2007,74.5
2008,74.6
2009,74.7
2010,76.3
2011,76.6
2012,77.1
2013,77.2
2014,77.4
2015,77.7
2016,77.9
2017,77.9
2018,78.0
2019,78.0
2020,74.8
2021,72.5
2022,73.9
