year,life_exp
1960,56.5
1961,56.9
1962,57.3
1963,57.3
1964,57.9
1965,58.6
1966,58.9
1967,59.1
1968,59.3
1969,59.5
1970,59.9
1971,60.2
1972,60.5
1973,60.9
1974,59.6
1975,60.1
1976,60.5
1977,60.8
1978,60.7
1979,61.1
1980,61.9
1981,62.3
1982,62.6
1983,62.8
1984,63.4
1985,63.7
1986,64.1
1987,64.6
1988,64.8
1989,65.6
1990,65.6
1991,65.7
1992,65.6
1993,65.8
1994,65.4
1995,65.6
1996,65.9
1997,65.9
1998,65.8
1999,65.6
2000,66.9
2001,67.1
2002,67.3
2003,67.5
2004,67.8
2005,68.1
2006,68.4
2007,68.8
2008,69.3
2009,69.8
2010,70.3
2011,70.7
2012,71.1
2013,71.6
2014,71.9
2015,72.3
2016,72.6
2017,73.0
2018,73.2
2019,73.5
2020,73.2
2021,72.4
2022,72.9
