year,life_exp
1960,54.5
1961,55.1
1962,55.8
1963,56.5
1964,56.7
1965,57.7
1966,58.2
1967,58.7
1968,59.2
1969,59.4
1970,59.8
1971,60.2
1972,60.5
1973,60.4
1974,61.0
1975,61.0
1976,61.7
1977,61.9
1978,62.4
1979,62.7
1980,62.8
1981,63.0
1982,63.2
1983,63.7
1984,64.1
1985,64.5
1986,64.6
1987,64.9
1988,65.3
1989,65.4
1990,65.7
1991,65.9
1992,66.1
1993,66.3
1994,66.5
1995,66.7
1996,66.9
1997,67.0
1998,67.2
1999,67.3
2000,67.3
2001,67.4
2002,67.2
2003,67.5
2004,67.7
2005,67.8
2006,68.0
2007,68.0
2008,68.1
2009,68.0
2010,68.4
2011,68.5
2012,68.6
2013,68.6
2014,68.6
2015,68.6
2016,68.8
2017,69.1
2018,69.2
2019,69.3
2020,69.4
2021,69.2
2022,69.7
