year,life_exp
1960,45.1
1961,45.4
1962,45.8
1963,46.1
1964,46.5
1965,45.6
1966,46.2
1967,46.6
1968,48.1
1969,48.5
1970,48.3
1971,46.7
1972,49.6
1973,50.1
1974,50.6
1975,51.2
1976,51.7
1977,52.2
1978,52.7
1979,53.2
1980,53.8
1981,54.3
1982,54.8
1983,55.4
1984,55.8
1985,56.3
1986,56.8
1987,57.2
1988,57.7
1989,58.1
1990,58.6
1991,58.7
1992,59.4
1993,59.7
1994,60.1
1995,60.5
1996,60.8
1997,61.3
1998,61.9
1999,62.6
2000,62.9
2001,63.3
2002,63.8
2003,64.2
2004,64.5
2005,64.9
2006,65.4
2007,65.6
2008,66.0
2009,66.3
2010,66.8
2011,67.1
2012,67.6
2013,68.1
2014,68.6
2015,69.1
2016,69.6
2017,70.0
2018,70.3
2019,70.5
2020,69.7
2021,67.6
2022,68.2
