year,life_exp
1960,41.4
1961,41.7
1962,42.2
1963,42.4
1964,42.9
1965,43.0
1966,43.0
1967,43.2
1968,43.7
1969,43.9
1970,44.4
1971,44.9
1972,45.0
1973,45.7
1974,45.9
1975,46.3
1976,47.0
1977,47.4
1978,47.7
1979,48.2
1980,48.6
1981,48.9
1982,49.2
1983,48.3
1984,48.4
1985,48.6
1986,49.0
1987,49.3
1988,49.0
1989,49.9
1990,49.8
1991,49.7
1992,49.5
1993,49.7
1994,50.0
1995,50.1
1996,50.0
1997,50.2
1998,49.9
1999,50.6
2000,51.3
2001,51.5
2002,51.9
2003,52.4
2004,52.8
2005,53.5
2006,54.2
2007,54.8
2008,55.4
2009,56.2
2010,56.8
2011,57.6
2012,58.1
2013,58.7
2014,59.1
2015,59.6
2016,60.1
2017,60.5
2018,60.9
2019,61.2
2020,60.8
2021,60.2
2022,60.8
