year,life_exp
1960,56.9
1961,57.3
1962,57.8
1963,58.0
1964,58.6
1965,59.2
1966,59.5
1967,59.8
1968,60.1
1969,60.2
1970,60.6
1971,60.9
1972,61.2
1973,61.4
1974,60.8
1975,61.1
1976,61.5
1977,61.7
1978,61.8
1979,62.1
1980,62.7
1981,63.0
1982,63.3
1983,63.5
1984,64.0
1985,64.3
1986,64.6
1987,65.0
1988,65.2
1989,65.8
1990,65.9
1991,66.0
1992,66.0
1993,66.2
1994,66.0
1995,66.2
1996,66.4
1997,66.4
1998,66.4
1999,66.3
2000,67.2
2001,67.4
2002,67.5
2003,67.7
2004,68.0
2005,68.3
2006,68.6
2007,69.0
2008,69.4
2009,69.7
2010,70.2
2011,70.5
2012,70.8
2013,71.2
2014,71.5
2015,71.7
2016,72.1
2017,72.4
2018,72.6
2019,72.8
2020,72.5
2021,71.6
2022,72.2
