year,life_exp
1960,32.2
1961,32.6
1962,33.0
1963,33.3
1964,33.6
1965,34.4
1966,35.0
1967,35.7
1968,36.2
1969,36.7
1970,37.2
1971,37.7
1972,38.3
1973,39.0
1974,36.9
1975,24.8
1976,26.0
1977,24.4
1978,21.8
1979,22.5
1980,28.4
1981,29.6
1982,30.8
1983,31.6
1984,33.8
1985,33.8
1986,34.3
1987,35.6
1988,35.8
1989,44.6
1990,45.0
1991,45.0
1992,46.3
1993,47.3
1994,48.3
1995,48.0
1996,48.8
1997,49.5
1998,49.1
1999,45.7
2000,58.6
2001,59.4
2002,60.1
2003,60.9
2004,61.6
2005,62.3
2006,63.1
2007,63.7
2008,64.3
2009,64.9
2010,65.3
2011,65.7
2012,66.1
2013,66.4
2014,66.8
2015,67.1
2016,67.4
2017,67.7
2018,68.0
2019,68.3
2020,68.5
2021,67.7
2022,69.1
