year,life_exp
1960,69.5
1961,69.6
1962,69.3
1963,69.8
1964,70.2
1965,69.9
1966,69.7
1967,69.6
1968,69.6
1969,69.0
1970,68.8
1971,69.0
1972,68.9
1973,69.0
1974,68.9
1975,69.0
1976,69.0
1977,68.8
1978,68.8
1979,68.5
1980,68.3
1981,68.6
1982,68.9
1983,68.8
1984,68.5
1985,68.6
1986,70.1
1987,70.5
1988,70.5
1989,70.5
1990,70.1
1991,69.3
1992,68.8
1993,68.1
1994,67.5
1995,66.7
1996,67.0
1997,67.6
1998,68.4
1999,68.0
2000,67.7
2001,67.8
2002,68.3
2003,68.2
2004,68.2
2005,68.0
2006,68.1
2007,68.2
2008,68.3
2009,69.2
2010,70.3
2011,70.8
2012,70.9
2013,71.2
2014,71.2
2015,71.2
2016,71.5
2017,71.8
2018,71.6
2019,71.8
2020,71.2
2021,69.6
2022,68.6
