year,life_exp
1960,41.9
1961,46.5
1962,52.5
1963,53.1
1964,53.8
1965,53.8
1966,54.8
1967,55.5
1968,56.1
1969,56.6
1970,57.2
1971,58.0
1972,58.7
1973,59.5
1974,60.1
1975,60.7
1976,61.4
1977,62.0
1978,62.5
1979,63.1
1980,63.6
1981,64.0
1982,64.5
1983,65.0
1984,65.5
1985,65.9
1986,66.3
1987,66.7
1988,66.9
1989,67.3
1990,67.4
1991,67.7
1992,68.1
1993,68.5
1994,68.7
1995,69.1
1996,69.4
1997,69.7
1998,70.1
1999,70.3
2000,70.7
2001,71.2
2002,71.5
2003,71.7
2004,71.9
2005,72.4
2006,72.7
2007,72.9
2008,73.1
2009,73.5
2010,73.8
2011,74.1
2012,74.4
2013,74.7
2014,74.9
2015,75.1
2016,75.3
2017,75.5
2018,75.8
2019,76.0
2020,75.3
2021,74.9
2022,75.7
