year,life_exp
1960,50.9
1961,52.8
1962,55.2
1963,55.5
1964,56.0
1965,55.9
1966,56.4
1967,56.8
1968,57.2
1969,57.5
1970,57.8
1971,58.0
1972,58.8
1973,59.3
1974,59.7
1975,60.2
1976,60.6
1977,61.1
1978,61.5
1979,61.9
1980,62.2
1981,62.6
1982,63.0
1983,63.2
1984,63.5
1985,63.8
1986,64.2
1987,64.5
1988,64.7
1989,65.0
1990,65.2
1991,65.3
1992,65.6
1993,65.8
1994,66.0
1995,66.2
1996,66.5
1997,66.8
1998,67.1
1999,67.4
2000,67.7
2001,68.1
2002,68.3
2003,68.6
2004,68.9
2005,69.2
2006,69.6
2007,69.8
2008,70.0
2009,70.4
2010,70.7
2011,71.0
2012,71.3
2013,71.6
2014,71.9
2015,72.1
2016,72.3
2017,72.5
2018,72.8
2019,73.0
2020,72.2
2021,71.3
2022,72.0
